Kanji,Reading,Meaning,VocabScore,FillingScore,Level
夕飯,ゆうはん,dinner,0,0,5
百,ひゃく,hundred,0,0,5
遠い,とおい,far,0,0,5
薬,くすり,medicine,0,0,5
出かける,でかける,to go out,0,0,5
天気,てんき,weather,0,0,5
自転車,じてんしゃ,Bicycle,0,0,5
撮る,とる,to take a photo or record a film,0,0,5
消す,けす,"to erase, to turn off power",0,0,5
明日,あした,tomorrow,0,0,5
嫌,いや,unpleasant,0,0,5
嫌い,きらい,Hate,0,0,5
来る,くる,to come,0,0,5
留学生,りゅうがくせい,overseas student,0,0,5
借りる,かりる,to borrow,0,0,5
散歩,さんぽ,to stroll,0,0,5
結婚,けっこん,Marriage,0,0,5
夏休み,なつやすみ,summer holiday,0,0,5
病院,びょういん,hospital,0,0,5
果物,くだもの,Fruit,0,0,5
私,わたくし,"(humble) I,myself",0,0,5
一昨日,おととい,day before yesterday,0,0,5
初め,はじめ,beginning,0,0,5
始め,はじめ,beginning,0,0,5
木曜日,もくようび,Thursday,0,0,5
黒,くろ,Black,0,0,5
海,うみ,sea,0,0,5
お酒,おさけ,"alcohol, rice wine",0,0,5
昼,ひる,"noon, daytime",0,0,5
小さな,ちいさな,little,0,0,5
作る,つくる,to make,0,0,5
三,さん,Three,0,0,5
もう一度,もういちど,again,0,0,5
差す,さす,"to stretch out hands, to raise an umbrella",0,0,5
耳,みみ,ear,0,0,5
消える,きえる,to disappear,0,0,5
建物,たてもの,building,0,0,5
出す,だす,to put out,0,0,5
四日,よっか,"four days, fouth day of the month",0,0,5
窓,まど,window,0,0,5
七日,なのか,"seven days,the seventh day",0,0,5
立つ,たつ,to stand,0,0,5
本,ほん,book,0,0,5
砂糖,さとう,Sugar,0,0,5
塩,しお,Salt,0,0,5
見せる,みせる,to show,0,0,5
見る,みる,"to see, to watch",0,0,5
毎朝,まいあさ,every morning,0,0,5
知る,しる,to know,0,0,5
強い,つよい,powerful,0,0,5
郵便局,ゆうびんきょく,post office,0,0,5
寝る,ねる,"to go to bed,to sleep",0,0,5
今日,きょう,Today,0,0,5
叔母さん,おばさん,Aunt,0,0,5
毎日,まいにち,every day,0,0,5
金曜日,きんようび,Friday,0,0,5
叔父,おじいさん,"grandfather, male senior citizen",0,0,5
八百屋,やおや,greengrocer,0,0,5
土曜日,どようび,Saturday,0,0,5
町,まち,"town,city",0,0,5
体,からだ,Body,0,0,5
